Date,Open,High,Low,Close,Adj Close,Volume
20-10-2000,0.340402,0.363839,0.33817,0.348214,0.298547,791263200
23-10-2000,0.361886,0.367188,0.347098,0.363839,0.311943,551292000
24-10-2000,0.36942,0.372768,0.335938,0.337054,0.288978,804451200
25-10-2000,0.340402,0.342634,0.329241,0.330357,0.283237,663969600
26-10-2000,0.335938,0.337054,0.3125,0.330357,0.283237,721851200
27-10-2000,0.337054,0.342634,0.319196,0.331473,0.284193,744503200
30-10-2000,0.341518,0.356027,0.334821,0.344866,0.295676,639189600
31-10-2000,0.352679,0.361607,0.34375,0.34933,0.299503,885880800
01-11-2000,0.347098,0.372768,0.347098,0.366071,0.313856,575366400
02-11-2000,0.377232,0.40067,0.376116,0.398438,0.341607,590693600
03-11-2000,0.410714,0.410714,0.391741,0.397321,0.340649,515821600
06-11-2000,0.40067,0.404018,0.372768,0.382813,0.32821,393478400
07-11-2000,0.383929,0.389509,0.371652,0.38058,0.326296,301963200
08-11-2000,0.381696,0.382813,0.353795,0.358259,0.307159,422088800
09-11-2000,0.354911,0.366071,0.340402,0.360491,0.309072,476834400
10-11-2000,0.345703,0.354911,0.340402,0.340402,0.291849,422251200
13-11-2000,0.334821,0.357143,0.325893,0.345982,0.296633,431816000
14-11-2000,0.356027,0.366071,0.34933,0.361607,0.310029,409001600
15-11-2000,0.357701,0.360491,0.34375,0.354911,0.304288,282357600
16-11-2000,0.348214,0.353795,0.337054,0.339286,0.290892,239372000
17-11-2000,0.342634,0.34375,0.325893,0.330357,0.283237,446180000
20-11-2000,0.332031,0.348214,0.325893,0.33817,0.289935,408066400
21-11-2000,0.342634,0.348214,0.334821,0.335938,0.288022,301952000
22-11-2000,0.335938,0.341518,0.328125,0.330357,0.283237,280532000
24-11-2000,0.336775,0.348214,0.335938,0.344866,0.295676,160932800
27-11-2000,0.354911,0.356027,0.330357,0.333705,0.286107,258792800
28-11-2000,0.333705,0.339286,0.320313,0.321987,0.27606,269124800
29-11-2000,0.323103,0.327009,0.308036,0.313616,0.268883,492150400
30-11-2000,0.297991,0.303571,0.287946,0.294643,0.252617,809597600
01-12-2000,0.303571,0.3125,0.300223,0.304688,0.261229,385705600
04-12-2000,0.30692,0.30692,0.293527,0.297991,0.255487,371520800
05-12-2000,0.302455,0.311384,0.292411,0.303571,0.260271,613978400
06-12-2000,0.261161,0.267857,0.25,0.25558,0.219125,1374464000
07-12-2000,0.257813,0.265625,0.25,0.25558,0.219125,408917600
08-12-2000,0.264509,0.273438,0.257813,0.268973,0.230608,435624000
11-12-2000,0.271205,0.274554,0.265625,0.271205,0.232522,332511200
12-12-2000,0.272321,0.285714,0.267857,0.274554,0.235393,386260000
13-12-2000,0.277902,0.277902,0.265625,0.267857,0.229651,344887200
14-12-2000,0.268415,0.272321,0.257813,0.257813,0.22104,263317600
15-12-2000,0.260045,0.262277,0.25,0.251116,0.215298,513945600
18-12-2000,0.260045,0.261161,0.248884,0.254464,0.218169,325808000
19-12-2000,0.256696,0.272321,0.25,0.25,0.214341,374007200
20-12-2000,0.246094,0.261161,0.243304,0.256696,0.220082,565331200
21-12-2000,0.254464,0.267857,0.247768,0.251116,0.215298,366844800
22-12-2000,0.252232,0.267857,0.252232,0.267857,0.229651,318052000
26-12-2000,0.265625,0.267857,0.254464,0.262277,0.224867,216815200
27-12-2000,0.256138,0.264509,0.253348,0.264509,0.226781,325466400
28-12-2000,0.256696,0.266741,0.25558,0.264509,0.226781,305177600
29-12-2000,0.262277,0.267857,0.258929,0.265625,0.227738,630336000
02-01-2001,0.265625,0.272321,0.260045,0.265625,0.227738,452312000
03-01-2001,0.258929,0.297991,0.257813,0.292411,0.250703,817073600
04-01-2001,0.32394,0.330357,0.300223,0.304688,0.261229,739396000
05-01-2001,0.302455,0.310268,0.28683,0.292411,0.250703,412356000
08-01-2001,0.302455,0.303292,0.284598,0.295759,0.253573,373699200
09-01-2001,0.300223,0.315011,0.295759,0.30692,0.263142,588929600
10-01-2001,0.297991,0.303571,0.28683,0.295759,0.253573,580781600
11-01-2001,0.290179,0.330357,0.290179,0.321429,0.275582,803734400
12-01-2001,0.319196,0.321429,0.304688,0.30692,0.263142,423376800
16-01-2001,0.311384,0.325893,0.303571,0.305804,0.262186,306118400
17-01-2001,0.313616,0.313616,0.294643,0.300223,0.257401,840873600
18-01-2001,0.31808,0.334821,0.314732,0.333705,0.286107,1227010400
19-01-2001,0.347098,0.34933,0.333705,0.348214,0.298547,776664000
22-01-2001,0.340402,0.350446,0.329241,0.34375,0.294719,519327200
23-01-2001,0.344866,0.373884,0.340402,0.366071,0.313856,879530400
24-01-2001,0.368304,0.36942,0.34933,0.366071,0.313856,717091200
25-01-2001,0.367188,0.367188,0.352679,0.356027,0.305245,489708800
26-01-2001,0.348214,0.353795,0.340402,0.34933,0.299503,482820800
29-01-2001,0.34933,0.388393,0.34933,0.387277,0.332038,855528800
30-01-2001,0.385045,0.392857,0.372768,0.388393,0.332995,692423200
31-01-2001,0.383929,0.401786,0.382813,0.386161,0.331081,730704800
01-02-2001,0.36942,0.383929,0.366071,0.377232,0.323426,369695200
